time,ax,ay,az,wx,wy,wz,Bx,By,Bz,Azimuth,Pitch,Roll
27.803682,-0.0004,-0.0012,0.0007,0,0.0001,0.0003,6.5636,3.416,-76.3964,163.4437,0.2657,0.5208
27.804962,-0.0004,-0.0012,0.0007,0,0.0001,0.0003,6.5636,3.416,-76.3964,163.4437,0.2657,0.5208
27.806264,-0.0004,-0.0012,0.0007,0,0.0001,0.0007,6.5636,3.416,-76.3964,163.4437,0.2657,0.5208
27.840493,-0.0004,-0.0012,0.0007,0,0.0001,-0.0004,6.5636,3.416,-76.3964,163.4437,0.2657,0.5208
27.842499,-0.0004,-0.0012,0.0007,0,0.0001,-0.0004,6.5636,3.416,-76.3964,163.4437,0.2657,0.5208
27.843842,-0.0004,-0.0012,0.0007,0,0.0001,-0.0004,6.527,3.416,-76.4574,163.4437,0.2657,0.5208
27.845102,0.0011,-0.0011,-0.0022,0,0.0001,-0.0004,6.527,3.416,-76.4574,163.4437,0.2657,0.5208
27.846258,0.0011,-0.0011,-0.0022,0,0.0001,-0.0004,6.527,3.416,-76.4574,163.4454,0.2666,0.5213
27.908899,0.0011,-0.0011,-0.0022,0,0.0001,-0.0004,6.4172,3.4648,-76.4086,163.4454,0.2666,0.5213
27.920552,0.0011,-0.0011,-0.0022,0,0.0001,-0.0004,6.4172,3.4648,-76.4086,163.4454,0.2666,0.5213
27.921895,0.0011,-0.0011,-0.0022,0,0.0001,-0.0004,6.4172,3.4648,-76.4086,163.4454,0.2666,0.5213
27.923341,0.0011,-0.0011,-0.0022,0,0.0001,-0.0004,6.4172,3.4648,-76.4086,163.4454,0.2668,0.5212
27.924626,0.0003,-0.0003,0.0008,0,0.0001,-0.0004,6.4172,3.4648,-76.4086,163.4454,0.2668,0.5212
27.973895,0.0003,-0.0003,0.0008,0,0.0001,-0.0004,6.588,3.538,-76.3842,163.4454,0.2668,0.5212
28.000247,0.0003,-0.0003,0.0008,0,0.0001,0.0007,6.588,3.538,-76.3842,163.4454,0.2668,0.5212
28.001918,0.0017,0.0012,0.0007,0,0.0001,0.0007,6.588,3.538,-76.3842,163.4454,0.2668,0.5212
28.003326,0.0017,0.0012,0.0007,0,0.0001,0.0007,6.588,3.538,-76.3842,163.447,0.266,0.5221
28.004678,0.0017,0.0012,0.0007,0,0.0001,0.0007,6.588,3.538,-76.3842,163.447,0.266,0.5221
28.040453,0.0017,0.0012,0.0007,0.0007,0.0001,0.0003,6.588,3.538,-76.3842,163.447,0.266,0.5221
28.042101,0.0017,0.0012,0.0007,0.0007,0.0001,0.0003,6.6368,3.5624,-76.3598,163.447,0.266,0.5221
28.043348,0.0031,-0.0015,0,0.0007,0.0001,0.0003,6.6368,3.5624,-76.3598,163.447,0.266,0.5221
28.044394,0.0031,-0.0015,0,0.0007,0.0001,0.0003,6.6368,3.5624,-76.3598,163.447,0.266,0.5221
28.045364,0.0031,-0.0015,0,0.0007,0.0001,0.0003,6.6368,3.5624,-76.3598,163.4502,0.2643,0.524
28.107697,0.0031,-0.0015,0,0.0007,0.0001,0.0003,6.6124,3.5746,-76.4086,163.4502,0.2643,0.524
28.119862,0.0031,-0.0015,0,0.0007,0.0001,0.0003,6.6124,3.5746,-76.4086,163.4502,0.2643,0.524
28.121322,-0.0037,-0.0013,-0.0014,0.0007,0.0001,0.0003,6.6124,3.5746,-76.4086,163.4502,0.2643,0.524
28.122461,-0.0037,-0.0013,-0.0014,0.0007,0.0001,0.0003,6.6124,3.5746,-76.4086,163.4439,0.2653,0.521
28.124151,-0.0037,-0.0013,-0.0014,0,0.0001,0.0003,6.6124,3.5746,-76.4086,163.4439,0.2653,0.521
28.174405,-0.0037,-0.0013,-0.0014,0,0.0001,0.0003,6.6246,3.538,-76.3476,163.4439,0.2653,0.521
28.199862,-0.0037,-0.0013,-0.0014,0,0.0001,0.0003,6.6246,3.538,-76.3476,163.4439,0.2653,0.521
28.201745,-0.0003,-0.0011,-0.0013,0,0.0001,0.0003,6.6246,3.538,-76.3476,163.4439,0.2653,0.521
28.203163,-0.0003,-0.0011,-0.0013,0,0.0001,0.0003,6.6246,3.538,-76.3476,163.4432,0.266,0.5205
28.204298,-0.0003,-0.0011,-0.0013,0,0.0001,0.0007,6.6246,3.538,-76.3476,163.4432,0.266,0.5205
28.24031,-0.0003,-0.0011,-0.0013,0,0.0001,0.0007,6.6246,3.538,-76.3476,163.4432,0.266,0.5205
28.241937,0.0008,-0.0021,0.0019,0,0.0001,0.0007,6.6246,3.538,-76.3476,163.4432,0.266,0.5205
28.243264,0.0008,-0.0021,0.0019,0.0003,0.0008,-0.0004,6.6246,3.538,-76.3476,163.4432,0.266,0.5205
28.244559,0.0008,-0.0021,0.0019,0.0003,0.0008,-0.0004,6.5758,3.538,-76.433,163.4432,0.266,0.5205
28.245611,0.0008,-0.0021,0.0019,0.0003,0.0008,-0.0004,6.5758,3.538,-76.433,163.4373,0.2664,0.5179
28.307595,0.0008,-0.0021,0.0019,0.0003,0.0008,-0.0004,6.5636,3.5258,-76.4818,163.4373,0.2664,0.5179
28.319693,0.0008,-0.0021,0.0019,0.0004,0.0001,0.0007,6.5636,3.5258,-76.4818,163.4373,0.2664,0.5179
28.320897,0.0008,-0.0021,0.0019,0.0004,0.0001,0.0007,6.5636,3.5258,-76.4818,163.4373,0.2664,0.5179
28.321967,0.0008,-0.0021,0.0019,0.0004,0.0001,0.0007,6.5636,3.5258,-76.4818,163.4342,0.2667,0.5165
28.323364,-0.0015,-0.0026,0.0005,0.0004,0.0001,0.0007,6.5636,3.5258,-76.4818,163.4342,0.2667,0.5165
28.375481,-0.0015,-0.0026,0.0005,0.0004,0.0001,0.0007,6.5758,3.5014,-76.4452,163.4342,0.2667,0.5165
28.39949,-0.0015,-0.0026,0.0005,0.0011,0.0001,-0.0004,6.5758,3.5014,-76.4452,163.4342,0.2667,0.5165
28.401645,0.0024,-0.0016,-0.0014,0.0011,0.0001,-0.0004,6.5758,3.5014,-76.4452,163.4342,0.2667,0.5165
28.403262,0.0024,-0.0016,-0.0014,0.0011,0.0001,-0.0004,6.5758,3.5014,-76.4452,163.4342,0.2667,0.5165
28.404645,0.0024,-0.0016,-0.0014,0.0011,0.0001,-0.0004,6.5758,3.5014,-76.4452,163.4352,0.264,0.5177
28.438377,0.0024,-0.0016,-0.0014,0.0011,0.0001,-0.0004,6.5758,3.5014,-76.4452,163.4352,0.264,0.5177
28.4405,0.0024,-0.0016,-0.0014,0.0008,0.0004,-0.0004,6.5758,3.5014,-76.4452,163.4352,0.264,0.5177
28.441709,0.0003,-0.0049,-0.0013,0.0008,0.0004,-0.0004,6.5758,3.5014,-76.4452,163.4352,0.264,0.5177
28.443057,0.0003,-0.0049,-0.0013,0.0008,0.0004,-0.0004,6.6124,3.5014,-76.4452,163.4352,0.264,0.5177
28.444226,0.0003,-0.0049,-0.0013,0.0008,0.0004,-0.0004,6.6124,3.5014,-76.4452,163.4327,0.2645,0.5165
28.507935,0.0003,-0.0049,-0.0013,0.0008,0.0004,-0.0004,6.527,3.5258,-76.4086,163.4327,0.2645,0.5165
28.519103,0.0003,-0.0049,-0.0013,0.0008,0.0004,-0.0004,6.527,3.5258,-76.4086,163.4327,0.2645,0.5165
28.520468,0.0003,-0.0049,-0.0013,0,0.0001,-0.0004,6.527,3.5258,-76.4086,163.4327,0.2645,0.5165
28.521708,0.0016,0.0008,0.0015,0,0.0001,-0.0004,6.527,3.5258,-76.4086,163.4327,0.2645,0.5165
